sentence Id,sentence,aspect_category,aspect_term,from,to,polarity,aspect_simplified,model_input,polarity_encoded,model_input_clean,confidence,source
2,Best chicken chilli dry ever had in such a reasonable price ðŸ‘,FOOD,N/A,,,negative,FOOD,Best chicken chilli dry ever had in such a reasonable price ðŸ‘ [ASP] FOOD,0,best chicken chilli dry ever had in such a reasonable price asp food,0.85273725,pakistani_pseudo
2,Best chicken chilli dry ever had in such a reasonable price ðŸ‘,SERVICE,N/A,,,negative,SERVICE,Best chicken chilli dry ever had in such a reasonable price ðŸ‘ [ASP] SERVICE,0,best chicken chilli dry ever had in such a reasonable price asp service,0.8446718,pakistani_pseudo
2,Best chicken chilli dry ever had in such a reasonable price ðŸ‘,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,Best chicken chilli dry ever had in such a reasonable price ðŸ‘ [ASP] DELIVERY_OVERALL,0,best chicken chilli dry ever had in such a reasonable price asp deliveryoverall,0.84708667,pakistani_pseudo
3,"no napkins? 
 how can you not send any napkins? 
 
 even requested for napkins in instructions. 
 
 poor",FOOD,N/A,,,negative,FOOD,"no napkins? 
 how can you not send any napkins? 
 
 even requested for napkins in instructions. 
 
 poor [ASP] FOOD",0,no napkins how can you not send any napkins even requested for napkins in instructions poor asp food,0.9703494,pakistani_pseudo
3,"no napkins? 
 how can you not send any napkins? 
 
 even requested for napkins in instructions. 
 
 poor",SERVICE,N/A,,,negative,SERVICE,"no napkins? 
 how can you not send any napkins? 
 
 even requested for napkins in instructions. 
 
 poor [ASP] SERVICE",0,no napkins how can you not send any napkins even requested for napkins in instructions poor asp service,0.95945203,pakistani_pseudo
3,"no napkins? 
 how can you not send any napkins? 
 
 even requested for napkins in instructions. 
 
 poor",DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,"no napkins? 
 how can you not send any napkins? 
 
 even requested for napkins in instructions. 
 
 poor [ASP] DELIVERY_OVERALL",0,no napkins how can you not send any napkins even requested for napkins in instructions poor asp deliveryoverall,0.97242606,pakistani_pseudo
4,ZINGER BURGER IS VERY VERY POOR IN QUALITY,FOOD,N/A,,,negative,FOOD,ZINGER BURGER IS VERY VERY POOR IN QUALITY [ASP] FOOD,0,zinger burger is very very poor in quality asp food,0.84351945,pakistani_pseudo
4,ZINGER BURGER IS VERY VERY POOR IN QUALITY,SERVICE,N/A,,,negative,SERVICE,ZINGER BURGER IS VERY VERY POOR IN QUALITY [ASP] SERVICE,0,zinger burger is very very poor in quality asp service,0.86806554,pakistani_pseudo
4,ZINGER BURGER IS VERY VERY POOR IN QUALITY,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,ZINGER BURGER IS VERY VERY POOR IN QUALITY [ASP] DELIVERY_OVERALL,0,zinger burger is very very poor in quality asp deliveryoverall,0.8452717,pakistani_pseudo
5,"very poor delivery of the restaurant. the order wasn't complete.
  Initially the restaurant send juice instead of Pepsi then they sent 1 Pepsi less then the order
 very disappointed",FOOD,N/A,,,negative,FOOD,"very poor delivery of the restaurant. the order wasn't complete.
  Initially the restaurant send juice instead of Pepsi then they sent 1 Pepsi less then the order
 very disappointed [ASP] FOOD",0,very poor delivery of the restaurant the order wasnt complete initially the restaurant send juice instead of pepsi then they sent 1 pepsi less then the order very disappointed asp food,0.97310895,pakistani_pseudo
5,"very poor delivery of the restaurant. the order wasn't complete.
  Initially the restaurant send juice instead of Pepsi then they sent 1 Pepsi less then the order
 very disappointed",SERVICE,N/A,,,negative,SERVICE,"very poor delivery of the restaurant. the order wasn't complete.
  Initially the restaurant send juice instead of Pepsi then they sent 1 Pepsi less then the order
 very disappointed [ASP] SERVICE",0,very poor delivery of the restaurant the order wasnt complete initially the restaurant send juice instead of pepsi then they sent 1 pepsi less then the order very disappointed asp service,0.9737583,pakistani_pseudo
5,"very poor delivery of the restaurant. the order wasn't complete.
  Initially the restaurant send juice instead of Pepsi then they sent 1 Pepsi less then the order
 very disappointed",DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,"very poor delivery of the restaurant. the order wasn't complete.
  Initially the restaurant send juice instead of Pepsi then they sent 1 Pepsi less then the order
 very disappointed [ASP] DELIVERY_OVERALL",0,very poor delivery of the restaurant the order wasnt complete initially the restaurant send juice instead of pepsi then they sent 1 pepsi less then the order very disappointed asp deliveryoverall,0.9730179,pakistani_pseudo
6,I love the coffee at flow!,FOOD,N/A,,,positive,FOOD,I love the coffee at flow! [ASP] FOOD,2,i love the coffee at flow asp food,0.99837804,pakistani_pseudo
6,I love the coffee at flow!,SERVICE,N/A,,,positive,SERVICE,I love the coffee at flow! [ASP] SERVICE,2,i love the coffee at flow asp service,0.9967411,pakistani_pseudo
6,I love the coffee at flow!,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,I love the coffee at flow! [ASP] DELIVERY_OVERALL,2,i love the coffee at flow asp deliveryoverall,0.99805045,pakistani_pseudo
7,delicious ðŸ˜‹ Masha Allah,FOOD,N/A,,,positive,FOOD,delicious ðŸ˜‹ Masha Allah [ASP] FOOD,2,delicious masha allah asp food,0.98516047,pakistani_pseudo
7,delicious ðŸ˜‹ Masha Allah,SERVICE,N/A,,,positive,SERVICE,delicious ðŸ˜‹ Masha Allah [ASP] SERVICE,2,delicious masha allah asp service,0.93388915,pakistani_pseudo
7,delicious ðŸ˜‹ Masha Allah,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,delicious ðŸ˜‹ Masha Allah [ASP] DELIVERY_OVERALL,2,delicious masha allah asp deliveryoverall,0.9877244,pakistani_pseudo
8,"very cheap totally failure.
 I am very sad 
 Ù†Ø§Ù† Ø¬Ù„Û’ÛÙˆÛ“ Ú©Ø¨Ø§Ø¨ Ø§Ù†ØªÚ¾Ø§Ø¦ÛŒ ÙØ¶ÙˆÙ„",FOOD,N/A,,,positive,FOOD,"very cheap totally failure.
 I am very sad 
 Ù†Ø§Ù† Ø¬Ù„Û’ÛÙˆÛ“ Ú©Ø¨Ø§Ø¨ Ø§Ù†ØªÚ¾Ø§Ø¦ÛŒ ÙØ¶ÙˆÙ„ [ASP] FOOD",2,very cheap totally failure i am very sad asp food,0.9979917,pakistani_pseudo
8,"very cheap totally failure.
 I am very sad 
 Ù†Ø§Ù† Ø¬Ù„Û’ÛÙˆÛ“ Ú©Ø¨Ø§Ø¨ Ø§Ù†ØªÚ¾Ø§Ø¦ÛŒ ÙØ¶ÙˆÙ„",SERVICE,N/A,,,positive,SERVICE,"very cheap totally failure.
 I am very sad 
 Ù†Ø§Ù† Ø¬Ù„Û’ÛÙˆÛ“ Ú©Ø¨Ø§Ø¨ Ø§Ù†ØªÚ¾Ø§Ø¦ÛŒ ÙØ¶ÙˆÙ„ [ASP] SERVICE",2,very cheap totally failure i am very sad asp service,0.99615794,pakistani_pseudo
8,"very cheap totally failure.
 I am very sad 
 Ù†Ø§Ù† Ø¬Ù„Û’ÛÙˆÛ“ Ú©Ø¨Ø§Ø¨ Ø§Ù†ØªÚ¾Ø§Ø¦ÛŒ ÙØ¶ÙˆÙ„",DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,"very cheap totally failure.
 I am very sad 
 Ù†Ø§Ù† Ø¬Ù„Û’ÛÙˆÛ“ Ú©Ø¨Ø§Ø¨ Ø§Ù†ØªÚ¾Ø§Ø¦ÛŒ ÙØ¶ÙˆÙ„ [ASP] DELIVERY_OVERALL",2,very cheap totally failure i am very sad asp deliveryoverall,0.9977608,pakistani_pseudo
9,"asked for leg piece, didn't get it.
 kababs had a burning smell.
 Overall over-rated",FOOD,N/A,,,negative,FOOD,"asked for leg piece, didn't get it.
 kababs had a burning smell.
 Overall over-rated [ASP] FOOD",0,asked for leg piece didnt get it kababs had a burning smell overall overrated asp food,0.7233846,pakistani_pseudo
9,"asked for leg piece, didn't get it.
 kababs had a burning smell.
 Overall over-rated",DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,"asked for leg piece, didn't get it.
 kababs had a burning smell.
 Overall over-rated [ASP] DELIVERY_OVERALL",0,asked for leg piece didnt get it kababs had a burning smell overall overrated asp deliveryoverall,0.7514125,pakistani_pseudo
10,Very worth the money and the good food mashâ€™Allah,FOOD,food,34,38,positive,FOOD,Very worth the money and the good food mashâ€™Allah [ASP] FOOD,2,very worth the money and the good food mashallah asp food,0.9281951,pakistani_pseudo
10,Very worth the money and the good food mashâ€™Allah,SERVICE,N/A,,,positive,SERVICE,Very worth the money and the good food mashâ€™Allah [ASP] SERVICE,2,very worth the money and the good food mashallah asp service,0.81828743,pakistani_pseudo
10,Very worth the money and the good food mashâ€™Allah,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,Very worth the money and the good food mashâ€™Allah [ASP] DELIVERY_OVERALL,2,very worth the money and the good food mashallah asp deliveryoverall,0.92938507,pakistani_pseudo
11,"Don't go for the bad reviews they are people like us who are striving for earnings and giving us the best food.
 Loved the lasagne (it was just a lil spicy for me, you can ask them to adjust the spice)",FOOD,food,106,110,negative,FOOD,"Don't go for the bad reviews they are people like us who are striving for earnings and giving us the best food.
 Loved the lasagne (it was just a lil spicy for me, you can ask them to adjust the spice) [ASP] FOOD",0,dont go for the bad reviews they are people like us who are striving for earnings and giving us the best food loved the lasagne it was just a lil spicy for me you can ask them to adjust the spice asp food,0.94219387,pakistani_pseudo
11,"Don't go for the bad reviews they are people like us who are striving for earnings and giving us the best food.
 Loved the lasagne (it was just a lil spicy for me, you can ask them to adjust the spice)",SERVICE,N/A,,,negative,SERVICE,"Don't go for the bad reviews they are people like us who are striving for earnings and giving us the best food.
 Loved the lasagne (it was just a lil spicy for me, you can ask them to adjust the spice) [ASP] SERVICE",0,dont go for the bad reviews they are people like us who are striving for earnings and giving us the best food loved the lasagne it was just a lil spicy for me you can ask them to adjust the spice asp service,0.9476677,pakistani_pseudo
11,"Don't go for the bad reviews they are people like us who are striving for earnings and giving us the best food.
 Loved the lasagne (it was just a lil spicy for me, you can ask them to adjust the spice)",DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,"Don't go for the bad reviews they are people like us who are striving for earnings and giving us the best food.
 Loved the lasagne (it was just a lil spicy for me, you can ask them to adjust the spice) [ASP] DELIVERY_OVERALL",0,dont go for the bad reviews they are people like us who are striving for earnings and giving us the best food loved the lasagne it was just a lil spicy for me you can ask them to adjust the spice asp deliveryoverall,0.94210285,pakistani_pseudo
12,Amazing Superb!!,FOOD,N/A,,,positive,FOOD,Amazing Superb!! [ASP] FOOD,2,amazing superb asp food,0.99662197,pakistani_pseudo
12,Amazing Superb!!,SERVICE,N/A,,,positive,SERVICE,Amazing Superb!! [ASP] SERVICE,2,amazing superb asp service,0.97490996,pakistani_pseudo
12,Amazing Superb!!,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,Amazing Superb!! [ASP] DELIVERY_OVERALL,2,amazing superb asp deliveryoverall,0.998151,pakistani_pseudo
13,"honestly, really great service and amazing shakes ðŸ‘ŒðŸ»",FOOD,N/A,,,positive,FOOD,"honestly, really great service and amazing shakes ðŸ‘ŒðŸ» [ASP] FOOD",2,honestly really great service and amazing shakes asp food,0.9940474,pakistani_pseudo
13,"honestly, really great service and amazing shakes ðŸ‘ŒðŸ»",SERVICE,service,23,30,positive,SERVICE,"honestly, really great service and amazing shakes ðŸ‘ŒðŸ» [ASP] SERVICE",2,honestly really great service and amazing shakes asp service,0.9849858,pakistani_pseudo
13,"honestly, really great service and amazing shakes ðŸ‘ŒðŸ»",DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,"honestly, really great service and amazing shakes ðŸ‘ŒðŸ» [ASP] DELIVERY_OVERALL",2,honestly really great service and amazing shakes asp deliveryoverall,0.9940602,pakistani_pseudo
14,"pizza was good but garlic roll was
  not really good.",FOOD,N/A,,,neutral,FOOD,"pizza was good but garlic roll was
  not really good. [ASP] FOOD",1,pizza was good but garlic roll was not really good asp food,0.9248862,pakistani_pseudo
14,"pizza was good but garlic roll was
  not really good.",SERVICE,N/A,,,neutral,SERVICE,"pizza was good but garlic roll was
  not really good. [ASP] SERVICE",1,pizza was good but garlic roll was not really good asp service,0.9819374,pakistani_pseudo
14,"pizza was good but garlic roll was
  not really good.",DELIVERY_OVERALL,N/A,,,neutral,DELIVERY_OVERALL,"pizza was good but garlic roll was
  not really good. [ASP] DELIVERY_OVERALL",1,pizza was good but garlic roll was not really good asp deliveryoverall,0.79947436,pakistani_pseudo
15,delicious ðŸ˜‹,FOOD,N/A,,,positive,FOOD,delicious ðŸ˜‹ [ASP] FOOD,2,delicious asp food,0.98621154,pakistani_pseudo
15,delicious ðŸ˜‹,SERVICE,N/A,,,positive,SERVICE,delicious ðŸ˜‹ [ASP] SERVICE,2,delicious asp service,0.92547435,pakistani_pseudo
15,delicious ðŸ˜‹,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,delicious ðŸ˜‹ [ASP] DELIVERY_OVERALL,2,delicious asp deliveryoverall,0.9925338,pakistani_pseudo
16,good,FOOD,N/A,,,positive,FOOD,good [ASP] FOOD,2,good asp food,0.8116221,pakistani_pseudo
16,good,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,good [ASP] DELIVERY_OVERALL,2,good asp deliveryoverall,0.9075739,pakistani_pseudo
17,was not fresh... no taste at all.. freezed food,FOOD,food,43,47,negative,FOOD,was not fresh... no taste at all.. freezed food [ASP] FOOD,0,was not fresh no taste at all freezed food asp food,0.937162,pakistani_pseudo
17,was not fresh... no taste at all.. freezed food,SERVICE,N/A,,,negative,SERVICE,was not fresh... no taste at all.. freezed food [ASP] SERVICE,0,was not fresh no taste at all freezed food asp service,0.9744626,pakistani_pseudo
17,was not fresh... no taste at all.. freezed food,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,was not fresh... no taste at all.. freezed food [ASP] DELIVERY_OVERALL,0,was not fresh no taste at all freezed food asp deliveryoverall,0.9208427,pakistani_pseudo
18,best pakora karri I've ever had.,FOOD,N/A,,,positive,FOOD,best pakora karri I've ever had. [ASP] FOOD,2,best pakora karri ive ever had asp food,0.99057955,pakistani_pseudo
18,best pakora karri I've ever had.,SERVICE,N/A,,,positive,SERVICE,best pakora karri I've ever had. [ASP] SERVICE,2,best pakora karri ive ever had asp service,0.9685791,pakistani_pseudo
18,best pakora karri I've ever had.,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,best pakora karri I've ever had. [ASP] DELIVERY_OVERALL,2,best pakora karri ive ever had asp deliveryoverall,0.99096113,pakistani_pseudo
20,well packaged and nice taste,FOOD,N/A,,,positive,FOOD,well packaged and nice taste [ASP] FOOD,2,well packaged and nice taste asp food,0.9932514,pakistani_pseudo
20,well packaged and nice taste,SERVICE,N/A,,,positive,SERVICE,well packaged and nice taste [ASP] SERVICE,2,well packaged and nice taste asp service,0.9772026,pakistani_pseudo
20,well packaged and nice taste,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,well packaged and nice taste [ASP] DELIVERY_OVERALL,2,well packaged and nice taste asp deliveryoverall,0.99318117,pakistani_pseudo
21,Very bad taste n quality,FOOD,N/A,,,negative,FOOD,Very bad taste n quality [ASP] FOOD,0,very bad taste n quality asp food,0.83144087,pakistani_pseudo
21,Very bad taste n quality,SERVICE,N/A,,,negative,SERVICE,Very bad taste n quality [ASP] SERVICE,0,very bad taste n quality asp service,0.8976939,pakistani_pseudo
21,Very bad taste n quality,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,Very bad taste n quality [ASP] DELIVERY_OVERALL,0,very bad taste n quality asp deliveryoverall,0.83438915,pakistani_pseudo
22,garlic cheese naan ko cheese k pass a guzar k lagaya. aur naan main saunf Kon daalta hai yaar?,FOOD,N/A,,,negative,FOOD,garlic cheese naan ko cheese k pass a guzar k lagaya. aur naan main saunf Kon daalta hai yaar? [ASP] FOOD,0,garlic cheese naan ko cheese k pass a guzar k lagaya aur naan main saunf kon daalta hai yaar asp food,0.8477894,pakistani_pseudo
22,garlic cheese naan ko cheese k pass a guzar k lagaya. aur naan main saunf Kon daalta hai yaar?,SERVICE,N/A,,,negative,SERVICE,garlic cheese naan ko cheese k pass a guzar k lagaya. aur naan main saunf Kon daalta hai yaar? [ASP] SERVICE,0,garlic cheese naan ko cheese k pass a guzar k lagaya aur naan main saunf kon daalta hai yaar asp service,0.86139137,pakistani_pseudo
22,garlic cheese naan ko cheese k pass a guzar k lagaya. aur naan main saunf Kon daalta hai yaar?,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,garlic cheese naan ko cheese k pass a guzar k lagaya. aur naan main saunf Kon daalta hai yaar? [ASP] DELIVERY_OVERALL,0,garlic cheese naan ko cheese k pass a guzar k lagaya aur naan main saunf kon daalta hai yaar asp deliveryoverall,0.8452694,pakistani_pseudo
23,"Satisfied. I ordered Aloo Kofta, Roti and Papri Chaat.",SERVICE,N/A,,,negative,SERVICE,"Satisfied. I ordered Aloo Kofta, Roti and Papri Chaat. [ASP] SERVICE",0,satisfied i ordered aloo kofta roti and papri chaat asp service,0.79438305,pakistani_pseudo
25,"very poor quality naan, very hard and too expensive",FOOD,N/A,,,negative,FOOD,"very poor quality naan, very hard and too expensive [ASP] FOOD",0,very poor quality naan very hard and too expensive asp food,0.9798988,pakistani_pseudo
25,"very poor quality naan, very hard and too expensive",SERVICE,N/A,,,negative,SERVICE,"very poor quality naan, very hard and too expensive [ASP] SERVICE",0,very poor quality naan very hard and too expensive asp service,0.9798496,pakistani_pseudo
25,"very poor quality naan, very hard and too expensive",DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,"very poor quality naan, very hard and too expensive [ASP] DELIVERY_OVERALL",0,very poor quality naan very hard and too expensive asp deliveryoverall,0.9801065,pakistani_pseudo
26,The coffee they sent didnt taste the same,FOOD,N/A,,,negative,FOOD,The coffee they sent didnt taste the same [ASP] FOOD,0,the coffee they sent didnt taste the same asp food,0.7790402,pakistani_pseudo
26,The coffee they sent didnt taste the same,SERVICE,N/A,,,negative,SERVICE,The coffee they sent didnt taste the same [ASP] SERVICE,0,the coffee they sent didnt taste the same asp service,0.87293005,pakistani_pseudo
26,The coffee they sent didnt taste the same,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,The coffee they sent didnt taste the same [ASP] DELIVERY_OVERALL,0,the coffee they sent didnt taste the same asp deliveryoverall,0.7583146,pakistani_pseudo
28,good,FOOD,N/A,,,positive,FOOD,good [ASP] FOOD,2,good asp food,0.8116221,pakistani_pseudo
28,good,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,good [ASP] DELIVERY_OVERALL,2,good asp deliveryoverall,0.9075739,pakistani_pseudo
29,quantity was very less with no taste,FOOD,N/A,,,negative,FOOD,quantity was very less with no taste [ASP] FOOD,0,quantity was very less with no taste asp food,0.85241306,pakistani_pseudo
29,quantity was very less with no taste,SERVICE,N/A,,,negative,SERVICE,quantity was very less with no taste [ASP] SERVICE,0,quantity was very less with no taste asp service,0.87218916,pakistani_pseudo
29,quantity was very less with no taste,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,quantity was very less with no taste [ASP] DELIVERY_OVERALL,0,quantity was very less with no taste asp deliveryoverall,0.85452527,pakistani_pseudo
30,quantity is not good.. as u charged,FOOD,N/A,,,negative,FOOD,quantity is not good.. as u charged [ASP] FOOD,0,quantity is not good as u charged asp food,0.8259838,pakistani_pseudo
30,quantity is not good.. as u charged,SERVICE,N/A,,,negative,SERVICE,quantity is not good.. as u charged [ASP] SERVICE,0,quantity is not good as u charged asp service,0.8135528,pakistani_pseudo
30,quantity is not good.. as u charged,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,quantity is not good.. as u charged [ASP] DELIVERY_OVERALL,0,quantity is not good as u charged asp deliveryoverall,0.83899593,pakistani_pseudo
31,Chinese roll was tasty,FOOD,N/A,,,positive,FOOD,Chinese roll was tasty [ASP] FOOD,2,chinese roll was tasty asp food,0.9994267,pakistani_pseudo
31,Chinese roll was tasty,SERVICE,N/A,,,positive,SERVICE,Chinese roll was tasty [ASP] SERVICE,2,chinese roll was tasty asp service,0.99805284,pakistani_pseudo
31,Chinese roll was tasty,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,Chinese roll was tasty [ASP] DELIVERY_OVERALL,2,chinese roll was tasty asp deliveryoverall,0.99948174,pakistani_pseudo
33,Bad food,SERVICE,N/A,,,negative,SERVICE,Bad food [ASP] SERVICE,0,bad food asp service,0.7993429,pakistani_pseudo
33,Bad food,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,Bad food [ASP] DELIVERY_OVERALL,0,bad food asp deliveryoverall,0.7065525,pakistani_pseudo
34,The chowmein was extremly good and soup was also nice.,FOOD,N/A,,,positive,FOOD,The chowmein was extremly good and soup was also nice. [ASP] FOOD,2,the chowmein was extremly good and soup was also nice asp food,0.90673774,pakistani_pseudo
34,The chowmein was extremly good and soup was also nice.,SERVICE,N/A,,,positive,SERVICE,The chowmein was extremly good and soup was also nice. [ASP] SERVICE,2,the chowmein was extremly good and soup was also nice asp service,0.74723035,pakistani_pseudo
34,The chowmein was extremly good and soup was also nice.,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,The chowmein was extremly good and soup was also nice. [ASP] DELIVERY_OVERALL,2,the chowmein was extremly good and soup was also nice asp deliveryoverall,0.9134021,pakistani_pseudo
35,amazing fresh and tasty,FOOD,N/A,,,positive,FOOD,amazing fresh and tasty [ASP] FOOD,2,amazing fresh and tasty asp food,0.9998919,pakistani_pseudo
35,amazing fresh and tasty,SERVICE,N/A,,,positive,SERVICE,amazing fresh and tasty [ASP] SERVICE,2,amazing fresh and tasty asp service,0.99973947,pakistani_pseudo
35,amazing fresh and tasty,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,amazing fresh and tasty [ASP] DELIVERY_OVERALL,2,amazing fresh and tasty asp deliveryoverall,0.99989796,pakistani_pseudo
36,yummy coffee and chocolate shake,FOOD,N/A,,,positive,FOOD,yummy coffee and chocolate shake [ASP] FOOD,2,yummy coffee and chocolate shake asp food,0.9997019,pakistani_pseudo
36,yummy coffee and chocolate shake,SERVICE,N/A,,,positive,SERVICE,yummy coffee and chocolate shake [ASP] SERVICE,2,yummy coffee and chocolate shake asp service,0.99908376,pakistani_pseudo
36,yummy coffee and chocolate shake,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,yummy coffee and chocolate shake [ASP] DELIVERY_OVERALL,2,yummy coffee and chocolate shake asp deliveryoverall,0.9997099,pakistani_pseudo
37,"v gud taste.
 v gud ingredients.
 
 v gud baked.
 
 but i found a hair in pizza...thats why i am giving 4 stars.
 
 please takea gud care while preparing food.
 
 i will order again in future.",FOOD,food,154,158,negative,FOOD,"v gud taste.
 v gud ingredients.
 
 v gud baked.
 
 but i found a hair in pizza...thats why i am giving 4 stars.
 
 please takea gud care while preparing food.
 
 i will order again in future. [ASP] FOOD",0,v gud taste v gud ingredients v gud baked but i found a hair in pizzathats why i am giving 4 stars please takea gud care while preparing food i will order again in future asp food,0.7709341,pakistani_pseudo
